Year,Unit,Farm,Field,Barley,Canola,Peas,DurumWheat,SpringWheat
2022,DryWeight_lbs,Craven,Devin Pinkney N Side,,,,,894839
2022,DryWeight_lbs,Craven,Devin Pinkney S Side,,,,,1003915
2022,DryWeight_lbs,Craven,Grant Yard,,,,1069742,
2022,DryWeight_lbs,Craven,Green,,,,1065245,
2022,DryWeight_lbs,Craven,Gtab Quarter,,,,489378,
2022,DryWeight_lbs,Craven,Swift Quarter,,,,512334,
2022,DryWeight_lbs,Craven,Swift West,,,,882457,
2022,DryWeight_lbs,Craven,Swift Wolf,,,,1014390,
2022,DryWeight_lbs,Craven,Tars,,,,1957442,
2022,DryWeight_lbs,Craven,Wally,,,,1617685,
2022,DryWeight_lbs,Craven,Yard S Quarter,,,,519067,
2022,DryWeight_lbs,Disley,Disley N Irr,,583356,,,
2022,DryWeight_lbs,Disley,Disley W Sec,,1740982,,,
2022,DryWeight_lbs,Disley,Hy 11,,761517,,,
2022,DryWeight_lbs,Disley,Little Field,,50209,,,
2022,DryWeight_lbs,Disley,Valley Irr,,311489,,,
2022,DryWeight_lbs,Disley,Valley Pump Site,,143401,,,
2022,DryWeight_lbs,Disley,Wagner Hay,,340352,,,
2022,DryWeight_lbs,Disley,Wagner Quarter,,380848,,,
2022,DryWeight_lbs,Home,Buffalo Jump E+W,,706319,,,
2022,DryWeight_lbs,Home,Junk Pile,,,2153980,,
2022,DryWeight_lbs,Home,Mill E Ranch S,,,,,2197723
2022,DryWeight_lbs,Home,Mill S,36511,,,,
2022,DryWeight_lbs,Home,Tree House,,50039,,,
2022,DryWeight_lbs,Home,Treehouse,331251,,,,
2022,DryWeight_lbs,Huber,Archibald,,539667,,,
2022,DryWeight_lbs,Huber,Bernard NW,,525018,,,
2022,DryWeight_lbs,Huber,Bernard Yard,,1089143,,,
2022,DryWeight_lbs,Huber,Bernard Yard SW,,177333,,,
2022,DryWeight_lbs,Huber,Erwin Bateman,1882332,,,,
2022,DryWeight_lbs,Huber,Graff +Bins E,,357109,,,
2022,DryWeight_lbs,Huber,Holt HY 6,,975717,,,
2022,DryWeight_lbs,Huber,Holt Quarter Otto E,,,,,689691
2022,DryWeight_lbs,Huber,Holt Yard,,,,,410946
2022,DryWeight_lbs,Huber,Holt Yard North,,,,,392551
2022,DryWeight_lbs,Huber,Huber 640,,1641528,,,
2022,DryWeight_lbs,Huber,Kathleen Burns N,,392780,,,
2022,DryWeight_lbs,Huber,Kathleen Burns S,,119708,,,
2022,DryWeight_lbs,Huber,Kathleen Burns Small,,64557,,,
2022,DryWeight_lbs,Huber,Lisa 85,393382,,,,
2022,DryWeight_lbs,Huber,Lumsden S,,,,,3266728
2022,DryWeight_lbs,Huber,Mobile Grain~1,,,,,502373
2022,DryWeight_lbs,Huber,OT N Side,,488938,,,
2022,DryWeight_lbs,Huber,OT S Side,,547141,,,27025
2022,DryWeight_lbs,Huber,Otto 440,,,,,1965108
2022,DryWeight_lbs,Huber,Otto House E,,,,,2026293
2022,DryWeight_lbs,Huber,Otto House W,,,,,671260
2022,DryWeight_lbs,Huber,Otto N,,,,,335724
2022,DryWeight_lbs,Huber,Otto S,,,,,44546
2022,DryWeight_lbs,Huber,Paul Schro,,,,,336182
2022,DryWeight_lbs,Huber,Penny Burns,,825768,,,
2022,DryWeight_lbs,Huber,Ron Burns,,824409,,,
2022,DryWeight_lbs,Huber,Ron Lisa Huber,,,,,3249798
2022,DryWeight_lbs,Huber,Scott Will 100,455471,,,,
2022,DryWeight_lbs,Huber,Scott Will 160,881053,,,,
2022,DryWeight_lbs,Huber,Small,2374243,,,,
2022,DryWeight_lbs,Pete,Colony W Quarter,617167,,,,
2022,DryWeight_lbs,Pete,new break,533953,,,,
2022,DryWeight_lbs,Pete,Otto Home,1057813,,,,
2022,DryWeight_lbs,Pete,Pete All N&S,4233413,,,,
2022,DryWeight_lbs,Pete,Pete East,,3435862,,,
2022,DryWeight_lbs,Pete,Sams correl,,139673,,,
2022,DryWeight_lbs,Rod Koch,Avonhurst N Half Section,,,,,1179836
2022,DryWeight_lbs,Rod Koch,Avonhurst N quarter,,,,,606586
2022,DryWeight_lbs,Rod Koch,Avonhurst NE Quarter,,,,,663484
2022,DryWeight_lbs,Rod Koch,Avonhurst Town,,,,,2377981
2022,DryWeight_lbs,Rod Koch,Edenwold Town,,,,,837864
2022,DryWeight_lbs,Rod Koch,North Edenwold Section,,,,,1416630
2022,DryWeight_lbs,Rod Koch,Rod East,,,,,3142276
2022,DryWeight_lbs,Rod Koch,Rod East East,,,,,3000648
2022,DryWeight_lbs,Rod Koch,Rod Yard NE,,,,,872935
2022,DryWeight_lbs,Rod Koch,Yard South,,51636,,,2285254
2022,DryWeight_lbs,Young,KS Road E,,,,,439923
2022,DryWeight_lbs,Young,KS Road W,,,,,640866
2022,DryWeight_lbs,Young,Mike McEwen N,,,,,369630
2022,DryWeight_lbs,Young,Mike McEwen S,,,,,168952
2022,DryWeight_lbs,Young,Sec 27 Disley W,,,,,457539
2022,DryWeight_lbs,Young,Valley & 40,,,,,439749
2022,DryWeight_lbs,Young,Young House SW,,,,,643084
2022,DryVolume_bu,Algin Fair Sidlets,Algin Fair NW,,11317.8,,,
2022,DryVolume_bu,Algin Fair Sidlets,Algin Fair Quarter,,7266.3,,,
2022,DryVolume_bu,Algin Fair Sidlets,Algin House N 3in1,,11170.6,,,598.8
2022,DryVolume_bu,Algin Fair Sidlets,Algin House SE,,15922,,,
2022,DryVolume_bu,Algin Fair Sidlets,Algin House W,,12128.9,,,
2022,DryVolume_bu,Algin Fair Sidlets,Morley Mack,,15402.7,,,
2022,DryVolume_bu,Algin Fair Sidlets,Sidlets Gravel NW,21098,,,,
2022,DryVolume_bu,Algin Fair Sidlets,Sidlets Gravel S,14707.8,,,,
2022,DryVolume_bu,Algin Fair Sidlets,Sidlets Middle,7531.7,,,,
2022,DryVolume_bu,Algin Fair Sidlets,Sidlets N Field,7172,,,,
2022,DryVolume_bu,Algin Fair Sidlets,Sidlets NE,27619.9,,,,
2022,DryVolume_bu,Bethune,Berry N,,,18283.8,,
2022,DryVolume_bu,Bethune,GA House N,,,35909.8,,
2022,DryVolume_bu,Bethune,GA House SE,,,17538.7,,
2022,DryVolume_bu,Bethune,GA Section Ian W,,,40392.4,,
2022,DryVolume_bu,Bethune,Jimmy NW,,,20592.8,,
2022,DryVolume_bu,Bethune,Lou Jurdisey,,,19665.9,,
2022,DryVolume_bu,Bethune,Mackzine Yard,28803.6,,,,
2022,DryVolume_bu,Bethune,Riche Bethune E,,,9396.9,,
2022,DryVolume_bu,Black,Black NE Chicken SW,,,34037.1,,
2022,DryVolume_bu,Black,Black SE,,,6660.7,,
2022,DryVolume_bu,Black,Chicken Barns SE,,,13589.7,,
2022,DryVolume_bu,Black,Gophers,,,9477.9,,
2022,DryVolume_bu,Black,Gophers S Dave Core,,26282.5,,,
2022,DryVolume_bu,Black,HY 54~1,,,17158.8,,
2022,DryVolume_bu,Black,Long Field,,,24366.7,,
2022,DryVolume_bu,Black,Schandre N Side,,6786.3,,,
2022,DryVolume_bu,Black,Schandre S Side,,1033.9,,,
2022,DryVolume_bu,Black,Tee Slews,,39178.7,,,
2022,DryVolume_bu,Black,Triangle,,,,,12176.5
2022,DryVolume_bu,Black,Walter + Black W,,,,,30064.7
2022,DryVolume_bu,Craven,Craven N,,,,48404.2,
2022,DryVolume_bu,Craven,Craven S N Side,,,,,14346.9
2022,DryVolume_bu,Craven,Craven S Quarter,,,,,9916.1
2022,DryVolume_bu,Craven,Devin Pinkney N Side,,,,,14914
2022,DryVolume_bu,Craven,Devin Pinkney S Side,,,,,16731.9
2022,DryVolume_bu,Craven,Grant Yard,,,,17829,
2022,DryVolume_bu,Craven,Green,,,,17754.1,
2022,DryVolume_bu,Craven,Gtab Quarter,,,,8156.3,
2022,DryVolume_bu,Craven,Swift Quarter,,,,8538.9,
2022,DryVolume_bu,Craven,Swift West,,,,14707.6,
2022,DryVolume_bu,Craven,Swift Wolf,,,,16906.5,
2022,DryVolume_bu,Craven,Tars,,,,32624,
2022,DryVolume_bu,Craven,Wally,,,,26961.4,
2022,DryVolume_bu,Craven,Yard S Quarter,,,,8651.1,
2022,DryVolume_bu,Disley,Disley N Irr,,11667.1,,,
2022,DryVolume_bu,Disley,Disley W Sec,,34819.6,,,
2022,DryVolume_bu,Disley,Hy 11,,15230.3,,,
2022,DryVolume_bu,Disley,Little Field,,1004.2,,,
2022,DryVolume_bu,Disley,Valley Irr,,6229.8,,,
2022,DryVolume_bu,Disley,Valley Pump Site,,2868,,,
2022,DryVolume_bu,Disley,Wagner Hay,,6807,,,
2022,DryVolume_bu,Disley,Wagner Quarter,,7617,,,
2022,DryVolume_bu,Home,Buffalo Jump E+W,,14126.4,,,
2022,DryVolume_bu,Home,Junk Pile,,,35899.7,,
2022,DryVolume_bu,Home,Mill E Ranch S,,,,,36628.7
2022,DryVolume_bu,Home,Mill S,760.6,,,,
2022,DryVolume_bu,Home,Tree House,,1000.8,,,
2022,DryVolume_bu,Home,Treehouse,6901.1,,,,
2022,DryVolume_bu,Huber,Archibald,,10793.3,,,
2022,DryVolume_bu,Huber,Bernard NW,,10500.4,,,
2022,DryVolume_bu,Huber,Bernard Yard,,21782.9,,,
2022,DryVolume_bu,Huber,Bernard Yard SW,,3546.7,,,
2022,DryVolume_bu,Huber,Erwin Bateman,39215.3,,,,
2022,DryVolume_bu,Huber,Graff +Bins E,,7142.2,,,
2022,DryVolume_bu,Huber,Holt HY 6,,19514.3,,,
2022,DryVolume_bu,Huber,Holt Quarter Otto E,,,,,11494.8
2022,DryVolume_bu,Huber,Holt Yard,,,,,6849.1
2022,DryVolume_bu,Huber,Holt Yard North,,,,,6542.5
2022,DryVolume_bu,Huber,Huber 640,,32830.6,,,
2022,DryVolume_bu,Huber,Kathleen Burns N,,7855.6,,,
2022,DryVolume_bu,Huber,Kathleen Burns S,,2394.2,,,
2022,DryVolume_bu,Huber,Kathleen Burns Small,,1291.1,,,
2022,DryVolume_bu,Huber,Lisa 85,8195.5,,,,
2022,DryVolume_bu,Huber,Lumsden S,,,,,54445.5
2022,DryVolume_bu,Huber,Mobile Grain~1,,,,,8372.9
2022,DryVolume_bu,Huber,OT N Side,,9778.8,,,
2022,DryVolume_bu,Huber,OT S Side,,10942.8,,,450.4
2022,DryVolume_bu,Huber,Otto 440,,,,,32751.8
2022,DryVolume_bu,Huber,Otto House E,,,,,33771.5
2022,DryVolume_bu,Huber,Otto House W,,,,,11187.7
2022,DryVolume_bu,Huber,Otto N,,,,,5595.4
2022,DryVolume_bu,Huber,Otto S,,,,,742.4
2022,DryVolume_bu,Huber,Paul Schro,,,,,5603
2022,DryVolume_bu,Huber,Penny Burns,,16515.4,,,
2022,DryVolume_bu,Huber,Ron Burns,,16488.2,,,
2022,DryVolume_bu,Huber,Ron Lisa Huber,,,,,54163.3
2022,DryVolume_bu,Huber,Scott Will 100,9489,,,,
2022,DryVolume_bu,Huber,Scott Will 160,18355.3,,,,
2022,DryVolume_bu,Huber,Small,49463.4,,,,
2022,DryVolume_bu,Pete,Colony W Quarter,12857.6,,,,
2022,DryVolume_bu,Pete,new break,11124,,,,
2022,DryVolume_bu,Pete,Otto Home,22037.8,,,,
2022,DryVolume_bu,Pete,Pete All N&S,88196.1,,,,
2022,DryVolume_bu,Pete,Pete East,,68717.2,,,
2022,DryVolume_bu,Pete,Sams correl,,2793.5,,,
2022,DryVolume_bu,Rod Koch,Avonhurst N Half Section,,,,,19663.9
2022,DryVolume_bu,Rod Koch,Avonhurst N quarter,,,,,10109.8
2022,DryVolume_bu,Rod Koch,Avonhurst NE Quarter,,,,,11058.1
2022,DryVolume_bu,Rod Koch,Avonhurst Town,,,,,39633
2022,DryVolume_bu,Rod Koch,Edenwold Town,,,,,13964.4
2022,DryVolume_bu,Rod Koch,North Edenwold Section,,,,,23610.5
2022,DryVolume_bu,Rod Koch,Rod East,,,,,52371.3
2022,DryVolume_bu,Rod Koch,Rod East East,,,,,50010.8
2022,DryVolume_bu,Rod Koch,Rod Yard NE,,,,,14548.9
2022,DryVolume_bu,Rod Koch,Yard South,,1032.7,,,38087.6
2022,DryVolume_bu,Young,KS Road E,,,,,7332
2022,DryVolume_bu,Young,KS Road W,,,,,10681.1
2022,DryVolume_bu,Young,Mike McEwen N,,,,,6160.5
2022,DryVolume_bu,Young,Mike McEwen S,,,,,2815.9
2022,DryVolume_bu,Young,Sec 27 Disley W,,,,,7625.7
2022,DryVolume_bu,Young,Valley & 40,,,,,7329.1
2022,DryVolume_bu,Young,Young House SW,,,,,10718.1
2022,DryYield_bu_ac,Algin Fair Sidlets,Algin Fair NW,,56.8,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Algin Fair Quarter,,46,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Algin House N 3in1,,46.5,,,2.5
2022,DryYield_bu_ac,Algin Fair Sidlets,Algin House SE,,51.6,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Algin House W,,53.7,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Morley Mack,,51.8,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Sidlets Gravel NW,103.7,,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Sidlets Gravel S,96.7,,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Sidlets Middle,90.7,,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Sidlets N Field,101.6,,,,
2022,DryYield_bu_ac,Algin Fair Sidlets,Sidlets NE,106.5,,,,
2022,DryYield_bu_ac,Bethune,Berry N,,,63.7,,
2022,DryYield_bu_ac,Bethune,GA House N,,,57.2,,
2022,DryYield_bu_ac,Bethune,GA House SE,,,55.2,,
2022,DryYield_bu_ac,Bethune,GA Section Ian W,,,54,,
2022,DryYield_bu_ac,Bethune,Jimmy NW,,,63.1,,
2022,DryYield_bu_ac,Bethune,Lou Jurdisey,,,61,,
2022,DryYield_bu_ac,Bethune,Mackzine Yard,90.1,,,,
2022,DryYield_bu_ac,Bethune,Riche Bethune E,,,58.2,,
2022,DryYield_bu_ac,Black,Black NE Chicken SW,,,61.6,,
2022,DryYield_bu_ac,Black,Black SE,,,58.2,,
2022,DryYield_bu_ac,Black,Chicken Barns SE,,,61.4,,
2022,DryYield_bu_ac,Black,Gophers,,,60.5,,
2022,DryYield_bu_ac,Black,Gophers S Dave Core,,57,,,
2022,DryYield_bu_ac,Black,HY 54~1,,,54.4,,
2022,DryYield_bu_ac,Black,Long Field,,,60.9,,
2022,DryYield_bu_ac,Black,Schandre N Side,,52.3,,,
2022,DryYield_bu_ac,Black,Schandre S Side,,49,,,
2022,DryYield_bu_ac,Black,Tee Slews,,52.5,,,
2022,DryYield_bu_ac,Black,Triangle,,,,,58.9
2022,DryYield_bu_ac,Black,Walter + Black W,,,,,61.6
2022,DryYield_bu_ac,Craven,Craven N,,,,60.9,
2022,DryYield_bu_ac,Craven,Craven S N Side,,,,,60.2
2022,DryYield_bu_ac,Craven,Craven S Quarter,,,,,60.8
2022,DryYield_bu_ac,Craven,Devin Pinkney N Side,,,,,64.6
2022,DryYield_bu_ac,Craven,Devin Pinkney S Side,,,,,43.8
2022,DryYield_bu_ac,Craven,Grant Yard,,,,59.6,
2022,DryYield_bu_ac,Craven,Green,,,,59.5,
2022,DryYield_bu_ac,Craven,Gtab Quarter,,,,53,
2022,DryYield_bu_ac,Craven,Swift Quarter,,,,56.1,
2022,DryYield_bu_ac,Craven,Swift West,,,,52.7,
2022,DryYield_bu_ac,Craven,Swift Wolf,,,,54.1,
2022,DryYield_bu_ac,Craven,Tars,,,,61,
2022,DryYield_bu_ac,Craven,Wally,,,,58.2,
2022,DryYield_bu_ac,Craven,Yard S Quarter,,,,62.3,
2022,DryYield_bu_ac,Disley,Disley N Irr,,56.9,,,
2022,DryYield_bu_ac,Disley,Disley W Sec,,58.8,,,
2022,DryYield_bu_ac,Disley,Hy 11,,51.9,,,
2022,DryYield_bu_ac,Disley,Little Field,,55.2,,,
2022,DryYield_bu_ac,Disley,Valley Irr,,51.7,,,
2022,DryYield_bu_ac,Disley,Valley Pump Site,,42.7,,,
2022,DryYield_bu_ac,Disley,Wagner Hay,,43.4,,,
2022,DryYield_bu_ac,Disley,Wagner Quarter,,48.8,,,
2022,DryYield_bu_ac,Home,Buffalo Jump E+W,,56.8,,,
2022,DryYield_bu_ac,Home,Junk Pile,,,52.7,,
2022,DryYield_bu_ac,Home,Mill E Ranch S,,,,,59
2022,DryYield_bu_ac,Home,Mill S,2.9,,,,
2022,DryYield_bu_ac,Home,Tree House,,6.6,,,
2022,DryYield_bu_ac,Home,Treehouse,60,,,,
2022,DryYield_bu_ac,Huber,Archibald,,75,,,
2022,DryYield_bu_ac,Huber,Bernard NW,,69.6,,,
2022,DryYield_bu_ac,Huber,Bernard Yard,,69,,,
2022,DryYield_bu_ac,Huber,Bernard Yard SW,,65.1,,,
2022,DryYield_bu_ac,Huber,Erwin Bateman,104.8,,,,
2022,DryYield_bu_ac,Huber,Graff +Bins E,,61,,,
2022,DryYield_bu_ac,Huber,Holt HY 6,,69.6,,,
2022,DryYield_bu_ac,Huber,Holt Quarter Otto E,,,,,70.9
2022,DryYield_bu_ac,Huber,Holt Yard,,,,,49.6
2022,DryYield_bu_ac,Huber,Holt Yard North,,,,,55.9
2022,DryYield_bu_ac,Huber,Huber 640,,51.1,,,
2022,DryYield_bu_ac,Huber,Kathleen Burns N,,62.7,,,
2022,DryYield_bu_ac,Huber,Kathleen Burns S,,59.7,,,
2022,DryYield_bu_ac,Huber,Kathleen Burns Small,,60,,,
2022,DryYield_bu_ac,Huber,Lisa 85,98.1,,,,
2022,DryYield_bu_ac,Huber,Lumsden S,,,,,67.6
2022,DryYield_bu_ac,Huber,Mobile Grain~1,,,,,65
2022,DryYield_bu_ac,Huber,OT N Side,,65.7,,,
2022,DryYield_bu_ac,Huber,OT S Side,,70.9,,,2.9
2022,DryYield_bu_ac,Huber,Otto 440,,,,,74.2
2022,DryYield_bu_ac,Huber,Otto House E,,,,,69.4
2022,DryYield_bu_ac,Huber,Otto House W,,,,,63.7
2022,DryYield_bu_ac,Huber,Otto N,,,,,73.9
2022,DryYield_bu_ac,Huber,Otto S,,,,,29.4
2022,DryYield_bu_ac,Huber,Paul Schro,,,,,57.6
2022,DryYield_bu_ac,Huber,Penny Burns,,55.1,,,
2022,DryYield_bu_ac,Huber,Ron Burns,,56.2,,,
2022,DryYield_bu_ac,Huber,Ron Lisa Huber,,,,,56.2
2022,DryYield_bu_ac,Huber,Scott Will 100,96.1,,,,
2022,DryYield_bu_ac,Huber,Scott Will 160,114,,,,
2022,DryYield_bu_ac,Huber,Small,109.7,,,,
2022,DryYield_bu_ac,Pete,Colony W Quarter,79.8,,,,
2022,DryYield_bu_ac,Pete,new break,71.5,,,,
2022,DryYield_bu_ac,Pete,Otto Home,70.1,,,,
2022,DryYield_bu_ac,Pete,Pete All N&S,91.1,,,,
2022,DryYield_bu_ac,Pete,Pete East,,51.8,,,
2022,DryYield_bu_ac,Pete,Sams correl,,126.6,,,
2022,DryYield_bu_ac,Rod Koch,Avonhurst N Half Section,,,,,64.3
2022,DryYield_bu_ac,Rod Koch,Avonhurst N quarter,,,,,66.5
2022,DryYield_bu_ac,Rod Koch,Avonhurst NE Quarter,,,,,62.6
2022,DryYield_bu_ac,Rod Koch,Avonhurst Town,,,,,59
2022,DryYield_bu_ac,Rod Koch,Edenwold Town,,,,,51.3
2022,DryYield_bu_ac,Rod Koch,North Edenwold Section,,,,,36.9
2022,DryYield_bu_ac,Rod Koch,Rod East,,,,,67.8
2022,DryYield_bu_ac,Rod Koch,Rod East East,,,,,68.3
2022,DryYield_bu_ac,Rod Koch,Rod Yard NE,,,,,49.8
2022,DryYield_bu_ac,Rod Koch,Yard South,,1.7,,,63.4
2022,DryYield_bu_ac,Young,KS Road E,,,,,58.2
2022,DryYield_bu_ac,Young,KS Road W,,,,,67
2022,DryYield_bu_ac,Young,Mike McEwen N,,,,,65.3
2022,DryYield_bu_ac,Young,Mike McEwen S,,,,,70.6
2022,DryYield_bu_ac,Young,Sec 27 Disley W,,,,,53.6
2022,DryYield_bu_ac,Young,Valley & 40,,,,,40.6
2022,DryYield_bu_ac,Young,Young House SW,,,,,59.3
