Grower,Farm,Year,FieldName,Crop,Variety,Date,SeededAcres,Acres,Weight_lbs,Volume_bu,Yield_buac,FieldName_monitor,Year_monitor,Crop_monitor,Area_ha_monitor,Mass_t_monitor,Yield_tha_monitor,Notes
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys East,Durum,,,,,1240351,,,Kennys East,2022,Mustard,156.56556659,420.32736715306,2.68467311368518,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Klaybos,Durum,,,,,NA,,,Klaybos,2022,Mustard,0.022919901,0.029705972248,1.29607768585039,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,L field,Durum,,,,,1799406,,,L field,2022,Mustard,127.1077004567,552.468597509139,4.34646048606112,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds east,Canola,,,,,139269,,,Lloyds east,2022,Canola/Mustard,42.5514850621,55.4784959003366,1.30379693727189,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds home,Canola,,,,,150426,,,Lloyds home,2022,Canola,46.2439990142,67.0034318941825,1.44891084946196,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds nw,Canola,,,,,175415,,,Lloyds nw,2022,Canola/Mustard,41.52240776249,57.2377995316617,1.37847978034088,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lornas north,Canola,,,,,826215,,,Lornas north,2022,Canola,120.50605592115,284.068725965296,2.35729834317347,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lornas South,Canola,,,,,764701,,,Lornas South,2022,Canola,102.04624734772,229.337261981659,2.2473855525544,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Mesabi,Durum,,,,,2466119,,,Mesabi,2022,Mustard,182.2500430116,765.318398346269,4.19927691483484,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Murhheads north,Mustard,,,,,216342,,,Murhheads north,2022,Mustard/Spring Barley,45.6520906379,81.74494228342,1.79060676392235,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Murhheads south,Mustard,,,,,253028,,,Murhheads south,2022,Mustard,45.2059995954,77.813280182511,1.72130427109124,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Murhheads west,Mustard,,,,,221718,,,Murhheads west,2022,Mustard,45.3847230024,78.915409135534,1.73880997646192,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,North of Food Grains,Durum,,,,,1143235,,,North of Food Grains,2022,Mustard,109.6181888441,488.719506692611,4.45837968904661,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Parns,Durum,,,,,970408,,,Parns,2022,Canola,140.65659672782,304.492281593764,2.16479204443555,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Phylis section 10,Durum,,,,,1431149,,,Phylis section 10,2022,Mustard,136.2204181066,497.138628988423,3.64951624652469,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Ratclif,Durum,,,,,369478,,,Ratclif,2022,Mustard,39.2725765232,175.590134088157,4.47106224325333,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,School land,Durum,,,,,814226,,,School land,2022,Mustard,70.8090739974,239.335604542911,3.38001319649653,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,South east Giebs,Canola,,,,,122158,,,South east Giebs,2022,Canola,34.25465322446,54.7896216008137,1.59947967482825,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,South Giebs,Canola,,,,,245814,,,South Giebs,2022,Canola,36.0020272748,71.4331681534485,1.9841429375131,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Franklins by lornas,Barley,,,,,1040213,,,Franklins by lornas,2022,Spring Barley,61.7070713406,348.24486839601,5.64351638848371,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Franklins Half pump,Barley,,,,,1389305,,,Franklins Half pump,2022,Spring Barley,74.617597013544,383.853414813251,5.14427467750773,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Franklins single,Barley,,,,,684163,,,Franklins single,2022,Spring Barley,49.5104433911,252.790449341088,5.10580055492958,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Harry L,Canola,,,,,NA,,,,,,,,,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Johnsons,Durum,,,,,NA,,,,,,,,,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys Home,Durum,,,,,1436246,,,Kennys Home,2022,Mustard,180.3219416053,437.607502912413,2.42681228372239,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys SE,Durum,,,,,743401,,,Kennys SE,2022,Mustard,75.9431042318,250.097710215553,3.29322474693928,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kevins,Durum,,,,,928283,,,Kevins,2022,Mustard,110.6686138393,364.91059960353,3.29732691992881,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,McNeils,Mustard,,,,,683006,,,McNeils,2022,Mustard,134.7125971764,217.082954552947,1.61145252265226,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Melbys Single,Canola,,,,,372427,,,Melbys Single,2022,Canola,49.4297445043,114.153801354574,2.30941516083789,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,North of Kens nw34,Canola,,,,,353364,,,North of Kens nw34,2022,Canola,76.7372373211,133.350496768958,1.73775472540098,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,North of kens nw35,Canola,,,,,402470,,,North of kens nw35,2022,Canola,79.275264955,141.168588512438,1.78073940960742,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Ushers Yard,Canola,,,,,646247,,,Ushers Yard,2022,Canola,87.6532517789,199.828599285539,2.27976253282188,Year = 2022?
202221 ABERHART FARMS INC,Hillwell Farms,2021,15,Canola,LL - InVigor L233P,2021-09-11,156,158.05,,5320.89,34.16,15,2021,Canola,65.3698701661,125.709430598616,1.9230484974071,
202221 ABERHART FARMS INC,Hillwell Farms,2021,15,Canola,LL - InVigor L233P,2021-09-11,156,156,,5983,38.35,15,2022,Corn/Spring Wheat/Spring Oats,62.8787230989,253.347364684471,4.02914296281094,
202221 ABERHART FARMS INC,Hillwell Farms,2022,15,Wheat,HRS - AAC Wheatland VB,2022-09-06,140,140,,8946,63.9,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2021,24,Peas,Green - CDC Striker,2021-08-04,153,153,,4171,27.26,24,2021,Other,56.3518966176,69.3958844883484,1.23147380396553,
202221 ABERHART FARMS INC,Aberhart Farms,2022,24,Canola,LL - Invigor L340PC,2022-10-09,153,153,,7497,49,24,2022,Canola,41.88233241729,103.601498379078,2.47363249369343,
202221 ABERHART FARMS INC,Hillwell Farms,2022,15 Breaking,Oats,Milling - CS Camden,2022-09-28,18,18,,1942.2,107.9,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2021,25 Creek,Barley,2 Row Malt - AAC Synergy,2021-08-13,239,239,,14232,59.55,25 Creek,2021,Spring Barley,92.6707896215,292.071468781782,3.15171015564564,
202221 ABERHART FARMS INC,Aberhart Farms,2022,25 Creek,Canola,LL - Invigor L340PC,2022-10-09,222,237,,11684.1,49.3,25 Creek,2022,Canola,83.35107228268,196.836534513263,2.36153572020891,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Altmans L,Canola,LL - Invigor L340PC,2021-09-14,440,477.57,,14999.3,40.88,Altmans L,2021,Canola,186.6142075272,339.695269839247,1.82030765149398,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Altmans L,Canola,LL - Invigor L340PC,2021-09-14,440,457,,17988,39.36,,,,,,,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Altmans L,Wheat,HRS - AAC Wheatland VB,2022-10-01,440,440,,29876,67.9,Altmans L,2022,Spring Barley/Winter Wheat,178.6687747437,742.597156972295,4.15627833144067,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Barrys,Canola,LL - Invigor L340PC,2021-09-14,309,309,,11124,36,Barrys,2021,Canola,125.989879593,204.834524082026,1.62580141153978,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Barrys,Wheat,HRS - AAC Starbuck VB,2022-09-30,282,282,,18894,67,Barrys,2022,Spring Barley/Corn/Winter Wheat,115.8732822421,471.686963049361,4.07071374800484,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Bennett Half,Barley,2 Row Malt - AAC Synergy,2021-08-08,304,285.04,,16656.51,59.33,Bennett Half,2021,Spring Barley/Other,125.9420667349,401.765462912906,3.19008154565699,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Bennett Half,Barley,2 Row Malt - AAC Synergy,2021-08-12,304,304,,20301,66.78,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Bennett Half,Canola,LL - Invigor L340PC,2022-10-14,296,296,,11307.2,38.2,,,,,,,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Bills,Canola,LL - Invigor L340PC,2021-09-12,163,163,,6685,41.01,Bills,2021,Canola,65.184294771,125.745967066507,1.92908380014338,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Bills,Wheat,HRS - AAC Starbuck VB,2022-10-02,160,160,,8976,56.1,Bills,2022,Winter Wheat,62.801631329,216.267774228318,3.44366491206817,
202221 ABERHART FARMS INC,Single Owner,2021,Bobs Half,Canola,LL,2021-09-17,207,207,,9875,47.71,Bobs Half,2021,Canola,85.9331579312,182.926332538828,2.1287048787999,
202221 ABERHART FARMS INC,Ken and Wayne Adams,2021,Border Quarter,Canola,LL - InVigor L255PC,2021-09-21,117,117,,3988,34.09,Border Quarter,2021,Canola,48.8822697448,68.641338502938,1.40421749769997,
202221 ABERHART FARMS INC,Ken and Wayne Adams,2022,Border Quarter,Canola,LL - Invigor L340PC,2022-09-26,117,118,,4637.4,39.3,Border Quarter,2022,Canola,46.2571203452,96.3980710365441,2.08396178398397,
202221 ABERHART FARMS INC,Single Owner,2021,Brent Half,Canola,LL,2021-09-17,220.4,251.65,,9238.22,36.89,Brent Half,2021,Canola,100.3545538605,209.346913110306,2.08607287917709,
202221 ABERHART FARMS INC,Single Owner,2021,Brent Half,Canola,LL,2021-09-17,220.4,220.4,,11135,50.52,Brent Half,2022,Spring Barley,95.0200411431,624.400628086023,6.57125192300934,
202221 ABERHART FARMS INC,Single Owner,2022,Brent Half,Barley,2 Row Malt - AAC Synergy,2022-09-02,233,233,,29334.7,125.9,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Brians Half,Canola,LL - Invigor L357P,2021-09-08,214,214,,10702,50.01,Brians Half,2021,Canola,87.7759655978,210.472453800161,2.397836951912,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Brians Half,Barley,2 Row Malt - AAC Synergy,2022-09-03,210,210,,21294,101.4,Brians Half,2022,Spring Barley,63.0688133048,312.115554783641,4.9488096957722,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Bush Quarter,Barley,2 Row Malt - CDC Bow,2021-08-13,161,161,,8881,55.16,Bush Quarter,2021,Spring Barley,62.2397824657,200.003703816381,3.21343834912344,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Bush Quarter,Canola,LL - Invigor L356PC,NA,153,NA,,NA,NA,,,,,,,
202221 ABERHART FARMS INC,Single Owner,2021,Carls,Canola,LL - Invigor L340PC,2021-09-12,119,119,,3967,33.34,Carls,2021,Canola,47.4589214403,70.9742914132489,1.49548892514402,
202221 ABERHART FARMS INC,Single Owner,2022,Carls,Wheat,HRS - AAC Starbuck VB,2022-10-02,120,120,,6408,53.4,Carls,2022,Winter Wheat,44.7577622548,157.70688385102,3.52356498417449,
202221 ABERHART FARMS INC,Single Owner,2021,Cliff,Peas,Green - CDC Striker,2021-08-16,219,222,,7348,33.1,Cliff,2021,Other,85.5852669058,122.422833815656,1.43041948972831,
202221 ABERHART FARMS INC,Single Owner,2022,Cliff,Canola,LL - Invigor L340PC,2022-09-27,222,222,,10966.8,49.4,Cliff,2022,Canola,87.4465229629,211.854093956019,2.42267029926278,
202221 ABERHART FARMS INC,Cantara Capital,2021,Dad Quarter,Wheat,HRS,2021-09-03,164,164,,7919,48.29,Dad Quarter,2021,Winter Wheat,65.6468795644,222.224781350838,3.38515376245468,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dad Quarter,Canola,LL - Invigor L340PC,2022-10-05,160,155,,7331.5,47.3,Dad Quarter,2022,Canola,62.55712874683,160.087835735125,2.55906623181195,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing East,Canola,LL - InVigor L255PC,2021-09-15,117.1,118,,2683,22.74,Dancing East,2021,Canola,46.9334609715,48.0355924194287,1.02348285051038,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing East,Oats,Milling - CS Camden,2022-09-29,117.1,117,,13700.7,117.1,Dancing East,2022,Spring Oats,42.90876691123,183.172036584559,4.2688720690461,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing Half,Canola,LL - InVigor L255PC,2021-09-15,208,208,,6683,32.13,Dancing Half,2021,Canola,87.3828792822,107.482825215987,1.23002155684153,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing Half,Oats,Milling - CS Camden,2022-09-28,220,220,,26708,121.4,Dancing Half,2022,Spring Oats,82.16534258049,378.406437594175,4.60542639645765,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing L Block,Canola,LL - InVigor L255PC,2021-09-15,214,225.81,,4276.59,19.23,Dancing L Block,2021,Canola,85.1182349328,95.8984942179129,1.12665040920578,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing L Block,Canola,LL - InVigor L255PC,2021-09-16,214,214,,5047,23.58,Dancing L Block,2022,Spring Oats,76.87128654705,312.364259785664,4.06347121033908,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing L Block,Oats,Milling - CS Camden,2022-09-29,214,214,,24567.2,114.8,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing L Block Breaking,Canola,LL - Invigor L340PC,2022-10-14,98,98,,3234,33,Dancing L Breaking,2022,Canola,30.6841981509,63.2246172502684,2.06049436062627,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing West,Canola,LL - InVigor L255PC,2021-09-15,119,125.27,,2230.93,18.5,Dancing West,2021,Canola,46.6960625111,50.0713840153542,1.07228278622961,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Dancing West,Canola,LL - InVigor L255PC,2021-09-15,119,119,,2704,22.72,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Dancing West,Oats,Milling - CS Camden,2022-09-13,117.1,114,,14854.2,130.3,Dancing West,2022,Spring Oats,43.7436801662,200.118306373314,4.57479356133237,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Daryl Home Sec,Canola,LL - Invigor L340PC,2021-09-13,593,593,,22848,38.53,Daryl Home Sec,2021,Canola,241.8646284344,436.151109032078,1.80328604416157,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Daryl Home Sec,Wheat,HRS - AAC Starbuck VB,2022-10-03,162,600,,35460,59.1,Daryl Home Sec,2022,Winter Wheat,226.3275996873,862.063693843825,3.80891988000966,
202221 ABERHART FARMS INC,David Schepp,2021,David,Barley,2 Row Malt - AAC Synergy,2021-08-08,275,293,,18669,63.72,David Manitoba Half,2021,Spring Barley,118.2450886696,420.000316403425,3.55194724050644,
202221 ABERHART FARMS INC,David Schepp,2022,David Manitoba Half,Canola,LL - Invigor L356PC,2022-10-11,287,287,,10590.3,36.9,David Manitoba Half,2022,Canola,103.438987343535,203.040431951656,1.96290042242322,
202221 ABERHART FARMS INC,David Schepp,2021,Davids and Hermans S,Barley,2 Row Malt,2021-08-07,530,530,,33486,63.18,Davids and Hermans S,2021,Spring Barley,205.5839846774,795.882462481058,3.8713252091594,
202221 ABERHART FARMS INC,David Schepp,2022,Davids and Hermans S,Canola,LL - Invigor L356PC,2022-10-10,512,512,,20736,40.5,Davids and Hermans S,2022,Canola,170.76762405803,366.659714317895,2.14712663679913,
202221 ABERHART FARMS INC,Cantara Capital,2021,Decock Home Half,Wheat,HRS - AAC Starbuck VB,2021-09-04,238,238,,11991,50.38,Decock Home Half,2021,Winter Wheat,95.5570164521,334.610745243028,3.50168682182286,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Decock Home Half,Canola,LL - Invigor L340PC,2022-10-04,230,230,,11178,48.6,Decock Home Half,2022,Canola,92.5784506737,240.465990378838,2.59742940856052,
202221 ABERHART FARMS INC,Bahsler Farms,2021,Ditch Field,Peas,Yellow - AAC Chrome Variety,2021-08-14,155,152,,7119,46.84,Ditch Field,2021,Other,60.6160177656,149.118029509376,2.46004331868203,
202221 ABERHART FARMS INC,Bahsler Farms,2022,Ditch Field,Canola,LL - Invigor L340PC,2022-09-27,158,155,,6246.5,40.3,Ditch Field,2022,Canola,59.7393469352,126.641747633266,2.11990512334585,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Dwayne Home Sec,Canola,LL - InVigor L233P,2021-09-09,636,671.87,,20906.7,31.4,Dwayne Home Sec,2021,Canola,260.4808730204,473.304240793858,1.81704028900728,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Dwayne Home Sec,Canola,LL - InVigor L233P,2021-09-09,636,636,,23186,36.46,,,,,,,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Dwayne Home Sec,Wheat,HRS - AAC Wheatland VB,2022-09-05,618,618,,37018.2,59.9,Dwayne Home Sec,2022,Spring Wheat,235.46103477141,873.001395393385,3.7076257489521,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Dwayne North Sec,Canola,LL - InVigor L233P,2021-09-11,650,650,,21814,33.56,Dwayne North Sec,2021,Canola,266.2213305482,402.754900695856,1.51285736521002,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Dwayne North Sec,Wheat,HRS - AAC Wheatland VB,2022-09-04,632,632,,37224.8,58.9,Dwayne North Sec,2022,Spring Wheat,252.8376753272,858.538115492468,3.39560990814136,
202221 ABERHART FARMS INC,Cantara Capital,2021,Elevator Half,Wheat,HRS - AAC Wheatland VB,2021-08-19,305,325.05,,14952.31,47.32,Elevator Half,2021,Spring Wheat,123.1674340401,403.913100759987,3.27938228077792,
202221 ABERHART FARMS INC,Cantara Capital,2021,Elevator Half,Wheat,HRS - AAC Wheatland VB,2021-08-30,305,302,,13465,44.59,Elevator Half,2022,Canola,116.28613919665,265.515488450111,2.28329438301413,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Elevator Half,Canola,LL - Invigor L340PC,2022-10-03,305,294,,12612.6,42.9,,,,,,,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Ellinghams,Canola,LL - InVigor L233P,2021-09-11,154,155,,6057,39.08,Ellinghams,2021,Canola,63.4225101274,124.288107099323,1.95968445351121,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Ellinghams,Wheat,HRS - AAC Wheatland VB,2022-09-09,151,151,,8803.3,58.3,Ellinghams,2022,Spring Wheat,60.1054990085,223.70908809366,3.7219404511062,
202221 ABERHART FARMS INC,Single Owner,2021,Garths Home ,Canola,LL - Invigor L357P,2021-09-08,128,127,,5495,43.27,Garths Home,2021,Canola,36.5783926112,79.5500982279618,2.17478386963358,
202221 ABERHART FARMS INC,Single Owner,2022,Garths Home ,Barley,2 Row Malt - AAC Synergy,2022-09-03,122,122,,13773.8,112.9,Garths Home,2022,Spring Barley/Winter Wheat,25.2216634057,137.476951565,5.45074880088721,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Garths Old Quarter,Canola,LL - Invigor L357P,2021-09-08,158,160,,7549,47.18,Garths Old Quarter,2021,Canola,45.480745691,98.8557617668608,2.1735738995683,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Garths Old Quarter,Barley,2 Row Malt - AAC Synergy,2022-08-30,210,158,,15942.2,100.9,Garths Old Quarter,2022,Spring Barley/Winter Wheat/Corn,16.4528747374,88.5231640040467,5.38040709705396,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Gerber's,Barley,2 Row Malt - AAC Synergy,2021-08-13,152,155,,9331,60.2,Gerber's,2021,Spring Barley,63.3495237523,221.165367366041,3.49119226579838,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Gerber's,Canola,LL - Invigor L356PC,2022-10-12,155,,,6116.297,40.7753,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Gopherville Block,Canola,LL - Invigor L340PC,2021-09-12,473,473,,21769,46.02,Gopherville Block,2021,Canola,193.1741083918,399.015737004512,2.06557566294143,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Gopherville Block,Peas,Yellow - CDC Lewechko,2022-09-14,443,443,,24542.2,55.4,Gopherville Block,2022,Other,173.6524695399,631.6568011656,3.63747663847916,
202221 ABERHART FARMS INC,Bahsler Farms,2021,Gordon Home Half,Peas,Yellow - AAC Chrome Variety,2021-08-15,251,251,,9580,38.17,Gordon Home Half,2021,Other,93.3179917895,214.708648546939,2.30082800143474,
202221 ABERHART FARMS INC,Bahsler Farms,2022,Gordon Home Half,Canola,LL - Invigor L340PC,2022-10-08,250,250,,10050,40.2,Gordon Home Half,2022,Canola,83.7987554517,211.538812344551,2.52436699333175,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys Home North,Wheat,HRS - CDC Landmark VB,2021-08-17,502,525.29,,25717.08,49.81,Goudys Home North,2021,Spring Wheat,203.7268132774,695.337572034298,3.41308814901801,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys Home North,Wheat,HRS - CDC Landmark VB,2021-08-17,502,502,,25511,50.82,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys Home North,Canola,LL - Invigor L357P,2022-10-12,470,470,,19411,41.3,Goudys Home North,2022,Canola,194.344746132,404.294335103027,2.08029464726784,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys Home North,Canola,NA,NA,518.23,NA,,NA,NA,,,,,,,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys Home South,Wheat,HRS - CDC Landmark VB,2021-08-17,428,428,,23026,53.799,Goudys Home South,2021,Spring Wheat,172.1416791523,658.918387586588,3.82776786442067,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys Home South,Canola,LL - Invigor L340PC,2022-10-13,421,421,,19702.8,46.8,Goudys Home South,2022,Canola,171.01326280342,395.052406064628,2.31006881915786,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Goudys North Section,Wheat,HRS - CDC Landmark VB,2021-08-18,642,636,,31462,49.47,Goudys North Section,2021,Spring Wheat,258.6720693386,866.739057755044,3.35072534105137,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Goudys North Section,Canola,LL - Invigor L357P,2022-10-14,594,594,,24948,42,Goudys North Section,2022,Canola,240.39954549785,499.036162653681,2.07586150639434,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Gravel Pile,Canola,LL - Invigor L340PC,2021-09-08,229,229,,10697,46.71,Gravel Pile,2021,Canola,76.7026325696,173.401557165815,2.26069890115532,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Gravel Pile,Wheat,HRS - AAC Wheatland VB,2022-09-06,215,215,,12319.5,57.3,Gravel Pile,2022,Winter Wheat,88.5899766495,304.993434373408,3.44275329905653,
202221 ABERHART FARMS INC,Hillwell Farms,2021,Gus,Wheat,HRS - AAC Wheatland VB,2021-08-19,159,159,,6640,41.76,Gus,2021,Spring Wheat,62.6939712485,193.120915444934,3.08037458146431,
202221 ABERHART FARMS INC,Hillwell Farms,2022,Gus,Canola,LL - Invigor L340PC,2022-10-04,149,149,,6436.8,43.2,Gus,2022,Canola,59.3975423534,139.586667970765,2.35004113706019,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Harrowby Quarter,Barley,2 Row Malt - AAC Synergy,2021-08-13,110,115,,8561,74.44,Harrowby Quater,2021,Spring Barley/Other,45.2457085044,154.464587591845,3.41390581997017,
202221 ABERHART FARMS INC,Aberhart Farms,2022,Harrowby Quarter,Canola,LL - Invigor L340PC,NA,115,NA,,NA,NA,,,,,,,
202221 ABERHART FARMS INC,Halwas Farms,2021,Hay Plant,Canola,LL - InVigor L233P,2021-09-19,475,475,,21246,44.73,Hay Plant,2021,Canola,196.9788301292,392.757820278195,1.99390878715536,
202221 ABERHART FARMS INC,Halwas Farms,2022,Hay Plant,Barley,2 Row Malt - AAC Synergy,2022-09-01,210,466,,56246.2,120.7,Hay Plant,2022,Spring Barley,189.0076851232,1218.724078435,6.44801335797854,
202221 ABERHART FARMS INC,Aberhart Farms,2021,Home Block,Peas,Green - CDC Striker,2021-08-03,317,317,,9894,31.21,Home Block,2021,Other/Spring Barley,118.7787750334,195.421334448871,1.64525467108008,
