Grower,Year,FieldName,Crop,Weight_lbs,Volume_bu,Yield_buac,Use,Field_monitor,Crop_monitor,Area_ha_monitor,Mass_t_monitor,Yield_tha_monitor
202221 ABERHART FARMS INC,2022,Dwayne North Sec,Wheat,NA,37224.8,58.9,TRUE,Dwayne North Sec,Spring Wheat,252.8376753,858.5381155,3.395609908
202221 ABERHART FARMS INC,2022,Elevator Half,Canola,NA,12612.6,42.9,TRUE,Elevator Half,Canola,116.2861392,265.5154885,2.283294383
202221 ABERHART FARMS INC,2021,Ellinghams,Canola,NA,6057,39.08,TRUE,Ellinghams,Canola,63.42251013,124.2881071,1.959684454
202221 ABERHART FARMS INC,2022,Ellinghams,Wheat,NA,8803.3,58.3,TRUE,Ellinghams,Spring Wheat,60.10549901,223.7090881,3.721940451
202221 ABERHART FARMS INC,2021,Garths Home,Canola,NA,5495,43.27,TRUE,NA,,NA,NA,NA
202221 ABERHART FARMS INC,2022,Garths Home,Barley,NA,13773.8,112.9,TRUE,NA,,NA,NA,NA
202221 ABERHART FARMS INC,2021,Garths Old Quarter,Canola,NA,7549,47.18,TRUE,Garths Old Quarter,Canola,45.48074569,98.85576177,2.1735739
202221 ABERHART FARMS INC,2022,Garths Old Quarter,Barley,NA,15942.2,100.9,TRUE,Garths Old Quarter,Spring Barley/Winter Wheat/Corn,16.45287474,88.523164,5.380407097
202221 ABERHART FARMS INC,2021,Gerber's,Barley,NA,9331,60.2,TRUE,Gerber's,Spring Barley,63.34952375,221.1653674,3.491192266
202221 ABERHART FARMS INC,2022,Gerber's,Canola,NA,6116.297,40.7753,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2021,Gopherville Block,Canola,NA,21769,46.02,TRUE,Gopherville Block,Canola,193.1741084,399.015737,2.065575663
202221 ABERHART FARMS INC,2022,Gopherville Block,Peas,NA,24542.2,55.4,TRUE,Gopherville Block,Other,173.6524695,631.6568012,3.637476638
202221 ABERHART FARMS INC,2021,Gordon Home Half,Peas,NA,9580,38.17,TRUE,Gordon Home Half,Other,93.31799179,214.7086485,2.300828001
202221 ABERHART FARMS INC,2022,Gordon Home Half,Canola,NA,10050,40.2,TRUE,Gordon Home Half,Canola,83.79875545,211.5388123,2.524366993
202221 ABERHART FARMS INC,2021,Goudys Home South,Wheat,NA,23026,53.799,TRUE,Goudys Home South,Spring Wheat,172.1416792,658.9183876,3.827767864
202221 ABERHART FARMS INC,2022,Goudys Home South,Canola,NA,19702.8,46.8,TRUE,Goudys Home South,Canola,171.0132628,395.0524061,2.310068819
202221 ABERHART FARMS INC,2021,Goudys North Section,Wheat,NA,31462,49.47,TRUE,Goudys North Section,Spring Wheat,258.6720693,866.7390578,3.350725341
202221 ABERHART FARMS INC,2022,Goudys North Section,Canola,NA,24948,42,TRUE,Goudys North Section,Canola,240.3995455,499.0361627,2.075861506
202221 ABERHART FARMS INC,2021,Gravel Pile,Canola,NA,10697,46.71,TRUE,Gravel Pile,Canola,76.70263257,173.4015572,2.260698901
202221 ABERHART FARMS INC,2022,Gravel Pile,Wheat,NA,12319.5,57.3,TRUE,Gravel Pile,Winter Wheat,88.58997665,304.9934344,3.442753299
202221 ABERHART FARMS INC,2021,Gus,Wheat,NA,6640,41.76,TRUE,Gus,Spring Wheat,62.69397125,193.1209154,3.080374581
202221 ABERHART FARMS INC,2022,Gus,Canola,NA,6436.8,43.2,TRUE,Gus,Canola,59.39754235,139.586668,2.350041137
202221 ABERHART FARMS INC,2021,Harrowby Quarter,Barley,NA,8561,74.44,TRUE,NA,,NA,NA,NA
202221 ABERHART FARMS INC,2022,Harrowby Quarter,Canola,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2021,Hay Plant,Canola,NA,21246,44.73,TRUE,Hay Plant,Canola,196.9788301,392.7578203,1.993908787
202221 ABERHART FARMS INC,2022,Hay Plant,Barley,NA,56246.2,120.7,TRUE,Hay Plant,Spring Barley,189.0076851,1218.724078,6.448013358
202221 ABERHART FARMS INC,2021,Home Block,Peas,NA,9894,31.21,TRUE,Home Block,Other/Spring Barley,118.778775,195.4213344,1.645254671
202221 ABERHART FARMS INC,2022,Home Block,Canola,NA,15812,47.2,TRUE,Home Block,Canola,122.9606644,283.0090886,2.301622962
202221 ABERHART FARMS INC,2021,Joe's,Canola,NA,5711,35.25,TRUE,Joe's,Canola,66.84130228,114.5942451,1.714422688
202221 ABERHART FARMS INC,2022,Joe's,Wheat,NA,9168,57.3,TRUE,Joe's,Spring Wheat,64.28044298,211.6683488,3.29288877
202221 ABERHART FARMS INC,2021,Johnson Marchwell,Peas,NA,5386,32.64,TRUE,Johnson Marchwell,Other,64.35075083,126.5986276,1.967321685
202221 ABERHART FARMS INC,2022,Johnson Marchwell,Canola,NA,8910,54,TRUE,Johnson Marchwell,Canola,65.77024479,177.6445336,2.700986353
202221 ABERHART FARMS INC,2022,Jonnys,Canola,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2021,Kammameyer Half,Wheat,NA,14527,47.01,TRUE,Kammameyer Half,Winter Wheat/Spring Wheat,125.9729788,412.556265,3.274958398
202221 ABERHART FARMS INC,2022,Kammameyer Half,Canola,NA,13680,45.6,TRUE,Kammameyer Half,Canola,119.5018428,290.7292233,2.432843012
202221 ABERHART FARMS INC,2021,Ken home,Peas,NA,5419,39.55,TRUE,Ken home,Other,52.87238621,105.8030604,2.001102428
202221 ABERHART FARMS INC,2022,Ken home,Canola,NA,5699.2,41.6,TRUE,Ken home,Canola,53.76451635,117.5359559,2.186125047
202221 ABERHART FARMS INC,2022,Kilman Sign,Canola,NA,6471.9,45.9,TRUE,Kilman Sign,Canola,59.02920223,141.252123,2.392919396
202221 ABERHART FARMS INC,2021,Lake Half,Wheat,NA,14213,54.67,TRUE,Lake Half,Spring Wheat,93.45135699,371.151901,3.97160526
202221 ABERHART FARMS INC,2022,Lake Half,Canola,NA,12699,49.8,TRUE,Lake Half,Canola,102.4750731,251.9990842,2.459125683
202221 ABERHART FARMS INC,2021,Mac Home,Canola,NA,5096,40.77,TRUE,Mac Home,Canola,53.50593636,92.79513003,1.734295974
202221 ABERHART FARMS INC,2022,Mac Home,Wheat,NA,8921.6,69.7,TRUE,Mac Home,Winter Wheat,48.21669223,200.2040909,4.152173896
202221 ABERHART FARMS INC,2021,Mac L Field,Canola,NA,22079,39.93,TRUE,Mac L Field,Canola,230.1893128,372.1021417,1.616504855
202221 ABERHART FARMS INC,2022,Mac L Field,Wheat,NA,40567.8,74.3,TRUE,Mac L Field,Winter Wheat/Spring Wheat,217.222637,934.5057034,4.302064077
202221 ABERHART FARMS INC,2021,Mitschke Section,Wheat,NA,27800,43.37,TRUE,NA,,NA,NA,NA
202221 ABERHART FARMS INC,2022,Mitschke Section,Canola,NA,28892,46.6,TRUE,NA,,NA,NA,NA
202221 ABERHART FARMS INC,2021,Nerbas Quarter,Peas,NA,3542,23,TRUE,Nerbas Quarter,Other,55.16000249,61.86532749,1.121561361
202221 ABERHART FARMS INC,2022,Nerbas Quarter,Canola,NA,6338.4,41.7,TRUE,Nerbas Quarter,Canola,59.18165053,134.121012,2.266260079
202221 ABERHART FARMS INC,2021,Orchard Quarter,Wheat,NA,4041,28.86,TRUE,Orchard Quarter,Spring Wheat,45.33003608,152.0512106,3.354314793
202221 ABERHART FARMS INC,2022,Orchard Quarter,Canola,NA,6260.9,45.7,TRUE,Orchard Quarter,Canola,54.53271384,130.0077928,2.384033063
202221 ABERHART FARMS INC,2021,Philips Quarter,Peas,NA,5167,32.7,TRUE,Philips Quarter,Other,49.51934944,66.30884136,1.339049121
202221 ABERHART FARMS INC,2022,Philips Quarter,Canola,NA,7797.6,51.3,TRUE,Philips Quarter,Canola,61.9946944,166.1066087,2.679368134
202221 ABERHART FARMS INC,2021,Railway Field,Canola,NA,1725,26.54,TRUE,Railway Field,Canola,26.86839125,30.32025835,1.128473159
202221 ABERHART FARMS INC,2022,Railway Field,Oats,NA,7644,117.6,TRUE,Railway Field,Spring Oats,22.47916997,97.57497866,4.340684232
202221 ABERHART FARMS INC,2022,Railway Breaking,Canola,NA,1562.1,38.1,TRUE,Railway Breaking,Canola,14.61863849,30.00932471,2.05281256
202221 ABERHART FARMS INC,2021,Ron Home,Canola,NA,6299,44.36,TRUE,Ron Home,Canola,58.92307326,117.5997347,1.995818076
202221 ABERHART FARMS INC,2022,Ron Home,Barley,NA,14350.5,106.3,TRUE,Ron Home,Spring Barley,55.03495401,293.2324328,5.328112616
202221 ABERHART FARMS INC,2021,Ron North Half,Canola,NA,10591,47.92,TRUE,Ron North Half,Canola,92.3706216,207.1610377,2.24271564
202221 ABERHART FARMS INC,2022,Ron North Half,Barley,NA,21534.3,101.1,TRUE,Ron North Half,Spring Barley,85.198795,427.1801987,5.013923011
202221 ABERHART FARMS INC,2021,Russin L Field,Canola,NA,16196,34.83,TRUE,Russin L Field,Canola,197.6275881,296.1961671,1.498759207
202221 ABERHART FARMS INC,2022,Russin L Field,Wheat,NA,35572.5,76.5,TRUE,Russin L Field,Winter Wheat,187.1676808,894.3388458,4.778276047
202221 ABERHART FARMS INC,2021,Russin South Half,Canola,NA,11271,37.08,TRUE,Russin South Half,Canola,126.0055177,197.5022684,1.567409681
202221 ABERHART FARMS INC,2022,Russin South Half,Wheat,NA,23462.4,83.2,TRUE,Russin South Half,Spring Oats/Winter Wheat/Spring Wheat,116.8442225,555.7718314,4.756519574
202221 ABERHART FARMS INC,2021,Town Half,Wheat,NA,12198,46.92,TRUE,Town Half,Spring Wheat,102.5646491,365.3263508,3.561912939
202221 ABERHART FARMS INC,2022,Town Half,Canola,NA,11865.7,46.9,TRUE,Town Half,Canola,98.61233307,244.2802427,2.477177398
202221 ABERHART FARMS INC,2021,Waynes Quarter,Wheat,NA,12041,74.33,TRUE,Waynes Quarter,Spring Wheat,46.17189485,184.3812312,3.993365051
202221 ABERHART FARMS INC,2022,Waynes Quarter,Canola,NA,6645,44.3,TRUE,Waynes Quarter,Canola,61.1180719,136.5859022,2.234787485
202221 ABERHART FARMS INC,2022,West of 482,Canola,NA,15665.1,51.7,TRUE,West of 482,Canola,122.6877956,325.3324506,2.651709969
202221 ABERHART FARMS INC,2021,West of Kilman Sign,Wheat,NA,10401,43.34,TRUE,West of Kilman Sign,Spring Wheat,96.30575802,309.9769361,3.218675004
202221 ABERHART FARMS INC,2022,West of Kilman Sign,Canola,NA,11425.7,51.7,TRUE,West of Kilman Sign,Canola,88.80341294,251.1018681,2.827615064
202221 ABERHART FARMS INC,2022,West Place ,Wheat,NA,8947.4,58.1,TRUE,NA,,NA,NA,NA
202231 HILLSBORO FARMS,2018,F1 S S11,Spring Wheat,746610.7917,,41.47841494,TRUE,F1 S S11,Wheat - Sft Rd Wtr,60.66358339,381.1562566,6.283114766
202231 HILLSBORO FARMS,2018,F10 SW05,Peas,270524.511,,44.1,TRUE,F10 SW05,Other,24.36671855,74.46521398,3.056021427
202231 HILLSBORO FARMS,2018,F12 W21,Canola,632827.3525,,39.9,TRUE,F12 W21,Canola,127.9958033,301.6293755,2.356556759
202231 HILLSBORO FARMS,2018,F14 SE31,Canola,208623.1906,,26.2,TRUE,F14 SE31,Canola,33.96476652,68.72040572,2.023285091
202231 HILLSBORO FARMS,2018,F15 NE24,Spring Wheat,567224.4752,,61,TRUE,F15 NE24,Wheat - Sft Rd Wtr,62.33760062,288.7874955,4.632637327
202231 HILLSBORO FARMS,2018,F16 NW24,Peas,417854.8563,,48,TRUE,F16 NW24,Other,57.21448243,188.059922,3.286928659
202231 HILLSBORO FARMS,2018,F17 SE26,Canola,205699.8645,,26.9,TRUE,F17 SE26,Canola,60.47439041,95.13871943,1.573206754
202231 HILLSBORO FARMS,2018,F18 Sec 04,Canola,818460.7658,,26.2,TRUE,F18 Sec 04,Canola,168.2952042,282.7594445,1.680139645
202231 HILLSBORO FARMS,2018,F19a W11,Peas,77598.21476,,28.4,TRUE,F19a W11,Other,16.11345921,32.4642655,2.01472974
202231 HILLSBORO FARMS,2018,F19b W11,Canola,300064.2143,,31.9,TRUE,F19b W11,Canola,75.19934741,139.6330236,1.856838237
202231 HILLSBORO FARMS,2018,F19d E11,CWRS,1175084.506,,62.1,TRUE,F19d E11,Wheat - Sft Rd Wtr/Other,123.5654706,623.5003663,5.045910993
202231 HILLSBORO FARMS,2018,F2 N S11,Spring Wheat,776820.7412,,81.42784749,TRUE,F2 N S11,Wheat - Sft Rd Wtr,63.90736083,401.0433588,6.275386021
202231 HILLSBORO FARMS,2018,F21 SE08,Canola,195915.7609,,25,TRUE,F21 SE08,Canola,29.08068563,56.53486287,1.944069118
202231 HILLSBORO FARMS,2018,F22 N13,Spring Wheat,1207141.886,,73.2,TRUE,F22 N13,Wheat - Sft Rd Wtr,110.561237,608.7792999,5.506263467
202231 HILLSBORO FARMS,2018,F25 Wieben,Spring Wheat,3577057.679,,63.4,TRUE,F25 Wieben,Wheat - Sft Rd Wtr,373.9696196,1785.087744,4.773349626
202231 HILLSBORO FARMS,2018,F26 NW24,Canola,86568.81354,,21.4,TRUE,F26 NW24,Canola,19.07795241,21.72949316,1.138984557
202231 HILLSBORO FARMS,2018,F5 NE05,Canola,142292.8908,,23.51951405,TRUE,F5 NE05,Canola,16.7401699,26.7613833,1.598632718
202231 HILLSBORO FARMS,2018,F6a NW31,Canola,507904.7648,,41,TRUE,F6a NW31,Canola,100.1685912,289.4393867,2.889522387
202231 HILLSBORO FARMS,2018,F7 N32,Peas,1207644.606,,65,TRUE,F7 N32,Other,121.4442578,553.7053754,4.559337639
202231 HILLSBORO FARMS,2018,F8 N33,CWRS,720366.1989,,44,TRUE,F8 N33,Spring Wheat,53.78512981,186.6812528,3.470871103
202231 HILLSBORO FARMS,2018,F9 SE06,Peas,179938.8798,,39.9,TRUE,F9 SE06,Other,19.85941636,54.81535943,2.760169707
202231 HILLSBORO FARMS,2019,F1 S S11,Peas,399111.1771,,45.1,TRUE,F1 S S11,Other,56.10142835,124.354025,2.216592851
202231 HILLSBORO FARMS,2019,F10 SW05,CWRS,460926.5173,,48.3,TRUE,F10 SW05,Spring Wheat,39.90231119,179.8879383,4.508208497
202231 HILLSBORO FARMS,2019,F12 W21,Spring Wheat,1196132.013,,63.3,TRUE,F12 W21,Wheat - Sft Rd Wtr,29.94456549,159.5237829,5.327303311
202231 HILLSBORO FARMS,2019,F15 NE24,Canola,312844.3965,,39.6,TRUE,F15 NE24,Canola,62.17051676,221.5191899,3.563090698
202231 HILLSBORO FARMS,2019,F17 SE26,CWRS,522424.3922,,56.5,TRUE,F17 SE26,Wheat - Sft Rd Wtr/Spring Wheat/Other,38.31477703,203.3752986,5.308012061
202231 HILLSBORO FARMS,2019,F18 Sec 04,Spring Wheat,2236214.409,,59.7,TRUE,F18 Sec 04,Wheat - Sft Rd Wtr,171.4463718,863.4837042,5.03646531
202231 HILLSBORO FARMS,2019,F19a W11,Canola,174136.3199,,37.9,TRUE,F19a W11,Canola,37.10007462,124.2360382,3.348673538
